Número,Enunciado,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Resposta Correta
1,CabeàComissãodeValoresMobiliários(CVM,A.autorizarofuncionamentodosbancoscomerciaisedecâmbio.,B.implementaraçõesdeproteçãoaosinvestidoresdomercadodecapitais.,C.regularomercadodenegociaçãodetítulospúblicoseprivados.,D.autorizaraentradadeinvestidoresestrangeirosparaadquiriraçõesnomercadobrasileiro.,
2,"Em1986,ocorreuoacidentenucleardausinadeChernobylnaUcrânia(entãopartedaUniãoSoviética","Considerandoocasomencionado,podemoscitarexemplosdosimpactossocioambientaiscausadospelo",A.aumentodonúmerodedoençasnaspessoasedeperdadebiodiversidadecausadaspelasemissõesradioativas,B.conflitosentreospaísespeladisputadeáreasnãoatingidaspeloacidenteepelasusinasradioativasoperacionais.,"C.aumentodasemissõesdegasesdeefeitoestufaprovocadospeloacidente,intensificandooaquecimentoglobal.",D.desligamentodeusinasnuclearesemoutrospaísesparareduziroconsumodemateriaisradioativos,
3,"UmasociedadeassociadaàANBIMA, queatuacomadistribuiçãodeprodutosdeinvestimento,pretendeiniciaras",A.IlleIV.,B.IIeIII.,C.Iell.,D.IeIV.,
4,"Umespecialistaeminvestimentos,queatuacomogerentedeprivatebankingemumainstituiçãofinanceira,",A.deverácomunicarIeIIaoBancoCentraldoBrasil.,B.deverácomunicarIeIIaoConselhodeControledeAtividadesFinanceiras(COAF).,C.deverácomunicarapenasIIaoConselhodeControledeAtividadesFinanceiras(COAF),"D.nãodeverácomunicar1eIlàautoridadecompetente, masmanteroregistrodessasoperaçõespor,nominimo,10anos",
5,"SegundooCódigodeDistribuiçãodaANBIMA, navendadeprodutosdeinvestimentoparaclientes,umadas",A.operíodoqueserámantidoeinvestimento.,B.necessidadefuturaderecursos.,C.aspreferênciasdeclaradasquantoàassunçãoderiscos.,D.aformaçãoacadémicaeasuaexperiênciaprofissional.,
6,Segundoaregulamentaçãovigentenasaplicaçõesemfundodeinvestimentorealizadasporcontaeordemde,A.distribuidoréoresponsávelporefetuararetençãoeorecolhimentodostributosincidentesnosresgatesdascotasdesses,"B.oadministradordofundodeveescriturar,noregistrodecotistas,ascotasdistribuídasemnomedosrespectivoscotistas,",C.Oadministradordofundoéresponsávelporrealizarosprocedimentosdecombatealavagemdedinheiroouocultaçãode,"D.ascotasdessesclientesdevemserresgatadas,casoocontratofirmadoentreoadministradoreodistribuidorseja",
7,"Uminvestidorsolicitouaumespecialistaeminvestimentoqueanaliseumprojeto,querequeruminvestimento",ATaxaInternadeRetornodesseprojetoé,"A.22,89%a.a.","B.27,83%a.a.","C.39,74%a.a.","D.20,57%a.a.",
8,"UmindivíduocontratouumempréstimodeR$150.000,00,queserápagopormeiodequatronotaspromissória","A.7,87%a.m.","B.10,66%a.m.","C.4,66%a.m.","D.6,26%a.m.",
9,Ocustomédioponderadodecapital deumaempresaéinfluenciadopelaalteraçãodo,"A.custodecapitalpróprio, docustodocapitaldeterceirosedaalíquotadeimpostoderendaqueaempresaestásujeita.","B.custodecapitalpróprio, docustodocapitaldegiroedocustodocapitaldeterceiros,apenas.","C.custodocapitaldeterceirosedaalíquotadeimpostoderendaqueaempresaestásujeita,apenas.","D.custodocapitaldegiro, docustodocapitaldeterceirosedaalíquotadeimpostoderendaqueaempresaestásujeita.",
10,"UmindividuonecessitapagarumimpostonovalordeR$2.800,00.pagamentodeveráserrealizadoemquatro","A.2,08%a.m.","B.1,29%a.m.","C.5,00%a.m.","D.3,53%a.m.",
